ユースベリー® Grande,506
ユースベリー® Tall,460
ユースベリー® Short,460
ほうじ茶 Venti,550
ほうじ茶 Grande,506
ほうじ茶 Tall,460
ほうじ茶 Short,460
ゼンクラウド ウーロン Venti,550
ゼンクラウド ウーロン Grande,506
ゼンクラウド ウーロン Tall,460
ゼンクラウド ウーロン Short,460
ココア Venti,585
ココア Grande,540
ココア Tall,495
ココア Short,455
キャラメル クリーム Venti,585
キャラメル クリーム Grande,540
キャラメル クリーム Tall,495
キャラメル クリーム Short,455
ミルク Venti,525
ミルク Grande,480
ミルク Tall,435
ミルク Short,396
キッズ ココア,396
キッズ ミルク,396
be juicy ! kids （アップル）,396
be juicy ! kids （オレンジ）,396
バニラ クリーム,396
ホット チョコレート,396
