カプチーノ Tall,77,490,+エスプレッソショット(￥55) +リストレットショット +ディカフェに変更(￥55),+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+キャラメルフレーバーシロップ(￥55) +フォームミルク多め+ハチミツ+ブラウンシュガー +チョコレートソース+シナモンパウダー +ホワイトモカフレーバーシロップ(￥55)+チョコレートソース,31,1
カプチーノ Grande,77,535,+エスプレッソショット(￥55) +リストレットショット +ディカフェに変更(￥55),+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+キャラメルフレーバーシロップ(￥55) +フォームミルク多め+ハチミツ+ブラウンシュガー +チョコレートソース+シナモンパウダー +ホワイトモカフレーバーシロップ(￥55)+チョコレートソース,32,1
カプチーノ Venti,114,580,+エスプレッソショット(￥55) +リストレットショット +ディカフェに変更(￥55),+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+キャラメルフレーバーシロップ(￥55) +フォームミルク多め+ハチミツ+ブラウンシュガー +チョコレートソース+シナモンパウダー +ホワイトモカフレーバーシロップ(￥55)+チョコレートソース,33,1
カフェ モカ Short,271,490,+エスプレッソショット(￥55) +リストレットショット +ディカフェに変更(￥55),+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+チョコレートソース+ココアパウダー +キャラメルソース+キャラメルフレーバーシロップ(￥55),34,1
カフェ モカ Tall,271,530,+エスプレッソショット(￥55) +リストレットショット +ディカフェに変更(￥55),+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+チョコレートソース+ココアパウダー +キャラメルソース+キャラメルフレーバーシロップ(￥55),35,1
カフェ モカ Grande,271,575,+エスプレッソショット(￥55) +リストレットショット +ディカフェに変更(￥55),+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+チョコレートソース+ココアパウダー +キャラメルソース+キャラメルフレーバーシロップ(￥55),36,1
カフェ モカ Venti,399,620,+エスプレッソショット(￥55) +リストレットショット +ディカフェに変更(￥55),+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+チョコレートソース+ココアパウダー +キャラメルソース+キャラメルフレーバーシロップ(￥55),37,1
ホワイト モカ Short,272,490,+エスプレッソショット(￥55) +リストレットショット +ディカフェに変更(￥55),+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+キャラメルソース +チョコレートソース,38,1
ホワイト モカ Tall,272,530,+エスプレッソショット(￥55) +リストレットショット +ディカフェに変更(￥55),+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+キャラメルソース +チョコレートソース,39,1
ホワイト モカ Grande,272,575,+エスプレッソショット(￥55) +リストレットショット +ディカフェに変更(￥55),+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+キャラメルソース +チョコレートソース,40,1
ホワイト モカ Venti,401,620,+エスプレッソショット(￥55) +リストレットショット +ディカフェに変更(￥55),+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+キャラメルソース +チョコレートソース,41,1
キャラメル マキアート Short,144,490,+エスプレッソショット(￥55) +リストレットショット +ディカフェに変更(￥55),+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+キャラメルソース多め+キャラメルフレーバーシロップに変更 +チョコレートソース,42,1
キャラメル マキアート Tall,144,530,+エスプレッソショット(￥55) +リストレットショット +ディカフェに変更(￥55),+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+キャラメルソース多め+キャラメルフレーバーシロップに変更 +チョコレートソース,43,1
キャラメル マキアート Grande,144,575,+エスプレッソショット(￥55) +リストレットショット +ディカフェに変更(￥55),+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+キャラメルソース多め+キャラメルフレーバーシロップに変更 +チョコレートソース,44,1
キャラメル マキアート Venti,211,620,+エスプレッソショット(￥55) +リストレットショット +ディカフェに変更(￥55),+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+キャラメルソース多め+キャラメルフレーバーシロップに変更 +チョコレートソース,45,1
カフェ アメリカーノ Short,5,405,+エスプレッソショット(￥55) +リストレットショット +ディカフェに変更(￥55),+ホイップクリーム(￥55) +ホイップクリーム(￥55),,46,1
カフェ アメリカーノ Tall,5,445,+エスプレッソショット(￥55) +リストレットショット +ディカフェに変更(￥55),+ホイップクリーム(￥55) +ホイップクリーム(￥55),,47,1
カフェ アメリカーノ Grande,5,490,+エスプレッソショット(￥55) +リストレットショット +ディカフェに変更(￥55),+ホイップクリーム(￥55) +ホイップクリーム(￥55),,48,1
カフェ アメリカーノ Venti,5,535,+エスプレッソショット(￥55) +リストレットショット +ディカフェに変更(￥55),+ホイップクリーム(￥55) +ホイップクリーム(￥55),,49,1
エスプレッソ Solo,5,425,,,,50,1
エスプレッソ Doppio,11,385,,,,51,1
ムース フォーム ラテ,109,385,,,,52,1
スターバックス ブロンド ラテ with オーツミルク Short,142,449,,,,53,1
スターバックス ブロンド ラテ with オーツミルク Tall,142,490,,,,54,1
スターバックス ブロンド ラテ with オーツミルク Grande,142,535,,,,55,1
スターバックス ブロンド ラテ with オーツミルク Venti,142,580,,,,56,1
トリプルエスプレッソ ラテ,219,449,,,,57,1
エスプレッソ アフォガート フラペチーノ® Short,385,590,+エスプレッソショット(￥55) +リストレットショット,,,58,1
エスプレッソ アフォガート フラペチーノ® Tall,385,630,+エスプレッソショット(￥55) +リストレットショット,,,59,1
エスプレッソ アフォガート フラペチーノ® Grande,385,675,+エスプレッソショット(￥55) +リストレットショット,,,60,1
エスプレッソ アフォガート フラペチーノ® Venti,385,720,+エスプレッソショット(￥55) +リストレットショット,,,61,1
コーヒー フラペチーノ® Short,170,475,+コーヒー少なめ +コーヒー多め(￥55),+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+チョコレートチップ(￥55) +チョコレートソース +ホイップクリーム(￥55)+ハチミツs,62,1
コーヒー フラペチーノ® Tall,170,515,+コーヒー少なめ +コーヒー多め(￥55),+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+チョコレートチップ(￥55) +チョコレートソース +ホイップクリーム(￥55)+ハチミツs,63,1
コーヒー フラペチーノ® Grande,170,561,+コーヒー少なめ +コーヒー多め(￥55),+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+チョコレートチップ(￥55) +チョコレートソース +ホイップクリーム(￥55)+ハチミツs,64,1
コーヒー フラペチーノ® Venti,170,605,+コーヒー少なめ +コーヒー多め(￥55),+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+チョコレートチップ(￥55) +チョコレートソース +ホイップクリーム(￥55)+ハチミツs,65,1
ダーク モカ チップ フラペチーノ® Short,312,550,+コーヒー少なめ +コーヒー多め(￥55),+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+ホイップなし +チョコレートソース +ダークモカパウダー多め,66,1
ダーク モカ チップ フラペチーノ® Tall,312,590,+コーヒー少なめ +コーヒー多め(￥55),+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+ホイップなし +チョコレートソース +ダークモカパウダー多め,67,1
ダーク モカ チップ フラペチーノ® Grande,312,635,+コーヒー少なめ +コーヒー多め(￥55),+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+ホイップなし +チョコレートソース +ダークモカパウダー多め,68,1
ダーク モカ チップ フラペチーノ® Venti,341,680,+コーヒー少なめ +コーヒー多め(￥55),+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+ホイップなし +チョコレートソース +ダークモカパウダー多め,69,1
キャラメル フラペチーノ® Short,271,535,+コーヒー少なめ +コーヒー多め(￥55),+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+チョコレートチップ(￥55) +シナモンパウダー +ハチミツ,70,1
キャラメル フラペチーノ® Tall,271,575,+コーヒー少なめ +コーヒー多め(￥55),+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+チョコレートチップ(￥55) +シナモンパウダー +ハチミツ,71,1
キャラメル フラペチーノ® Grande,271,620,+コーヒー少なめ +コーヒー多め(￥55),+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+チョコレートチップ(￥55) +シナモンパウダー +ハチミツ,72,1
キャラメル フラペチーノ® Venti,302,665,+コーヒー少なめ +コーヒー多め(￥55),+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+チョコレートチップ(￥55) +シナモンパウダー +ハチミツ,73,1
抹茶 クリーム フラペチーノ® Short,293,550,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+チョコレートチップ(￥55) +チョコレートソース +ホイップなし +チョコレートチップ (￥55),,74,1
抹茶 クリーム フラペチーノ® Tall,293,590,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+チョコレートチップ(￥55) +チョコレートソース +ホイップなし +チョコレートチップ (￥55),,75,1
抹茶 クリーム フラペチーノ® Grande,293,635,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+チョコレートチップ(￥55) +チョコレートソース +ホイップなし +チョコレートチップ (￥55),,76,1
抹茶 クリーム フラペチーノ® Venti,322,680,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+チョコレートチップ(￥55) +チョコレートソース +ホイップなし +チョコレートチップ (￥55),,77,1
バニラ クリーム フラペチーノ® Short,227,535,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+チョコレートチップ(￥55) +ホワイトモカフレーバーシロップ(￥55),,78,1
バニラ クリーム フラペチーノ® Tall,227,575,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+チョコレートチップ(￥55) +ホワイトモカフレーバーシロップ(￥55),,79,1
バニラ クリーム フラペチーノ® Grande,227,620,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+チョコレートチップ(￥55) +ホワイトモカフレーバーシロップ(￥55),,80,1
バニラ クリーム フラペチーノ® Venti,227,665,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+チョコレートチップ(￥55) +ホワイトモカフレーバーシロップ(￥55),,81,1
マンゴー パッション ティー フラペチーノ® Short,112,535,+シトラス果肉(￥110) +ホイップクリーム(￥55) +ホイップクリーム(￥55)+ノンティー +シトラス果肉 (￥110)+ホイップクリーム (￥55),,,82,1
マンゴー パッション ティー フラペチーノ® Tall,112,575,+シトラス果肉(￥110) +ホイップクリーム(￥55) +ホイップクリーム(￥55)+ノンティー +シトラス果肉 (￥110)+ホイップクリーム (￥55),,,83,1
マンゴー パッション ティー フラペチーノ® Grande,112,620,+シトラス果肉(￥110) +ホイップクリーム(￥55) +ホイップクリーム(￥55)+ノンティー +シトラス果肉 (￥110)+ホイップクリーム (￥55),,,84,1
マンゴー パッション ティー フラペチーノ® Venti,112,665,+シトラス果肉(￥110) +ホイップクリーム(￥55) +ホイップクリーム(￥55)+ノンティー +シトラス果肉 (￥110)+ホイップクリーム (￥55),,,85,1
おさつ バター フラペチーノ®,369,535,,,,86,1
ゆず シトラス & ティー Short,119,470,,,,87,1
ゆず シトラス & ティー Tall,119,510,,,,88,1
ゆず シトラス & ティー Grande,119,555,,,,89,1
ゆず シトラス & ティー Venti,119,600,,,,90,1
チャイ ティー ラテ Short,149,460,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+フォームミルク多め,,91,1
チャイ ティー ラテ Tall,149,500,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+フォームミルク多め,,92,1
チャイ ティー ラテ Grande,149,545,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+フォームミルク多め,,93,1
チャイ ティー ラテ Venti,149,590,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+フォームミルク多め,,94,1
ほうじ茶 ティー ラテ Short,104,460,,,,95,1
ほうじ茶 ティー ラテ Tall,104,500,,,,96,1
ほうじ茶 ティー ラテ Grande,104,545,,,,97,1
ほうじ茶 ティー ラテ Venti,162,590,,,,98,1
抹茶 ティー ラテ Short,168,460,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+ホワイトモカフレーバーシロップ(￥55) +ホイップクリーム(￥55) +チョコレートソース +エスプレッソショット(￥55),,99,1
抹茶 ティー ラテ Tall,168,500,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+ホワイトモカフレーバーシロップ(￥55) +ホイップクリーム(￥55) +チョコレートソース +エスプレッソショット(￥55),,100,1
抹茶 ティー ラテ Grande,225,545,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+ホワイトモカフレーバーシロップ(￥55) +ホイップクリーム(￥55) +チョコレートソース +エスプレッソショット(￥55),,101,1
抹茶 ティー ラテ Venti,225,590,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+ホワイトモカフレーバーシロップ(￥55) +ホイップクリーム(￥55) +チョコレートソース +エスプレッソショット(￥55),,102,1
イングリッシュ ブレックファスト ティー ラテ Short,126,460,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+フォームミルク多め+ハチミツ +ホワイトモカフレーバーシロップに変更,,103,1
イングリッシュ ブレックファスト ティー ラテ Tall,126,500,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+フォームミルク多め+ハチミツ +ホワイトモカフレーバーシロップに変更,,104,1
イングリッシュ ブレックファスト ティー ラテ Grande,126,545,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+フォームミルク多め+ハチミツ +ホワイトモカフレーバーシロップに変更,,105,1
イングリッシュ ブレックファスト ティー ラテ Venti,184,590,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+フォームミルク多め+ハチミツ +ホワイトモカフレーバーシロップに変更,,106,1
カモミール ティー ラテ Short,121,460,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),,,107,1
カモミール ティー ラテ Tall,121,500,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),,,108,1
カモミール ティー ラテ Grande,121,545,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),,,109,1
カモミール ティー ラテ Venti,121,590,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),,,110,1
アール グレイ ティー ラテ Short,123,460,+低脂肪タイプミルクに変更 +ノンファットミルクに変更 +豆乳*に変更(￥55) +アーモンドミルク*に変更(￥55) +オーツミルク*に変更(￥55),+フォームミルク多め,,111,1
